Number,Name,Coordinates
1,간호대학,"33.45606732722656,126.56448974786174"
2,경상대학 1호관,"33.454083939997204,126.56160275920529"
3,경상대학 2호관,"33.4538317793614,126.56273048913535"
4,공과대학 4호관,"33.454810309091975,126.56527013698907"
5,공과대학 1호관,"33.457127109748214,126.5656026924167"
6,공과대학 3호관,"33.45644584911733,126.56561385637491"
7,공과대학 2호관,"33.45770191923055,126.56609390651438"
8,교양강의동,"33.455724848048135,126.56447621510257"
9,대학본관,"33.455946895139974,126.56203580752387"
10,문화교류관(박물관),"33.45885905756636,126.56186327782001"
11,법학전문대학원,"33.45353775343541,126.56037555440513"
12,사범대학 1호관,"33.45495183298932,126.56311303989969"
13,사범대학 2호관,"33.45531894372153,126.5636782291168"
14,사회과학대학,"33.45486321981895,126.56162989235074"
15,수의과대학,"33.4520524043672,126.55864964933367"
16,생명자원과학대학 1호관,"33.45825565451674,126.56277182883687"
17,아라뮤즈홀,"33.45359618458456,126.55946091894569"
18,약학대학,"33.4574254229265,126.56010164164955"
19,인문대학 1호관,"33.45348420660432,126.55839666335524"
20,인문대학 2호관,"33.45273631288097,126.5585187666997"
21,예술디자인대학 미술관,"33.452950616259436,126.56174439398217"
22,예술디자인대학 음악관,"33.45233222478144,126.56279617905874"
23,운동장,"33.45542649626263,126.55947855346388"
24,언어교육원,"33.45407694509234,126.5602813104123"
25,자연과학대학 1호관,"33.45801471090526,126.56476027169215"
26,자연과학대학 2호관,"33.45846595018839,126.56058605793719"
27,정보화 본부,"33.45450767801606,126.56355767738788"
28,중앙도서관,"33.45265673471058,126.56086390690801"
29,체육관,"33.456031987190556,126.56051345440827"
30,학생회관,"33.45500458136292,126.56063157512315"
31,학생생활관 1호관,"33.45121961743158,126.55693110770082"
32,학생생활관 2호관,"33.45031997069246,126.557049124893"
33,학생생활관 3호관,"33.45168894637693,126.55648363009728"
34,학생생활관 4호관,"33.45059747466206,126.55806031765331"
35,학생생활관 5호관,"33.452263748864475,126.55660621929138"
36,학생생활관 6호관,"33.453604094980825,126.55662135033646"
37,해양과학대학 1호관,"33.45702628049973,126.56378370560937"
38,해양과학대학 3호관,"33.457263339236164,126.56453545569032"
39,해양과학대학 4호관,"33.454853575769,126.56639752460183"
40,평생교육원,"33.45231843551406,126.56017187369835"
41,아라컨벤션홀,"33.45229431178201,126.5597256368516"
42,중앙디지털도서관,"33.452221567681384,126.56082307776676"
43,의학전문대학원,"33.45288601731578,126.5638797262234"
